id,end_frame,label,start_frame,video_id,create_time,update_time,user_id,thumbnail
1285,1607,Variables,970,226,2021-08-05 07:28:03.9030100,2021-08-05 07:28:37.0673610,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F06ceedcb-7e14-48a2-b3c0-0c56b91f09af-Screen%20Shot%202021-08-05%20at%2014.27.30.png?alt=media&token=c941ee9b-6030-4508-a8a7-15ce9c708860
1286,2121,Objects,1806,226,2021-08-05 07:29:30.8319220,2021-08-05 07:29:43.6881100,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fa14ee9e7-e96a-4f09-8a55-7b2e4c48ca38-Screen%20Shot%202021-08-05%20at%2014.29.09.png?alt=media&token=706d7886-c1c0-45f2-b99f-7f916e0c8b8a
1288,20,Introduction,0,1287,2021-08-05 07:35:02.6581860,2021-08-05 07:35:39.1133910,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F6f8e1c0a-8a18-43ee-a7e8-ebaa3f1746b3-pizza.jpeg?alt=media&token=8b649a0c-b42d-4853-9695-4ab0e6a08adb
1289,40,All Materials,20,1287,2021-08-05 07:36:47.1610000,2021-08-05 07:37:49.3782910,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fe9871a57-90db-41ae-8ce8-5c3130059e44-material.jpeg?alt=media&token=88d1bd65-1454-409a-ace6-b40c3ebfdf90
1290,250,Making Pizza's Base,41,1287,2021-08-05 07:42:16.5738270,2021-08-05 07:42:16.5738450,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F9ef2bef1-8261-4c91-b915-b1dd5bba0699-pizza-base-mix-500x500.jpeg?alt=media&token=b8230929-c53a-43ba-93aa-21c7e33aee6c
1291,500,Mixing Materials,252,1287,2021-08-05 07:44:48.7497240,2021-08-05 07:44:48.7497410,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F19c41b5b-c97d-4fee-a1db-4e462fda02f1-Screen%20Shot%202021-08-05%20at%2014.44.34.png?alt=media&token=2eec1fcd-a083-4a30-8014-2759e6041282
1292,560,Decoration,501,1287,2021-08-05 07:46:25.7309100,2021-08-05 07:46:25.7309220,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fbf0a87a6-4596-4303-ad47-06e434960fb4-Screen%20Shot%202021-08-05%20at%2014.45.55.png?alt=media&token=17426d21-42a5-4e12-92ab-270eebc9866d
1295,15,Step 1: Wet your hand and apply soap,8,1294,2021-08-05 07:53:17.2896930,2021-08-05 07:54:43.7039190,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fb623c4de-5ee8-4d96-97ca-abb8757dd18b-Screen%20Shot%202021-08-05%20at%2014.52.38.png?alt=media&token=aceb41e3-de08-4975-9b69-812edd7b6e5b
1297,22,Step 2: Rub your palms together,15,1294,2021-08-05 07:54:26.4338460,2021-08-05 07:54:39.2710230,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F6bf7985f-4b16-491e-a2cb-b00a30e0167d-Screen%20Shot%202021-08-05%20at%2014.53.51.png?alt=media&token=c4b4034f-6696-4493-a14b-5435eb9cc2e3
1298,30,Step 3: Rub the back of hands,23,1294,2021-08-05 07:56:38.4889460,2021-08-05 07:56:53.3243860,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F5fe42065-250b-44e7-993d-a12e72cd5900-Screen%20Shot%202021-08-05%20at%2014.55.56.png?alt=media&token=2ed63e67-d384-434c-8ab3-fefbae1abb46
1299,38,Step 4: Interlock your fingers,30,1294,2021-08-05 07:57:54.8165470,2021-08-05 07:57:54.8165590,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fdad21d9a-3d86-4454-b84d-3ed2af948ce2-Screen%20Shot%202021-08-05%20at%2014.57.19.png?alt=media&token=19451041-44dd-4d26-809e-24c765509aaa
1300,50,Step 5: Rub your cupped palms,39,1294,2021-08-05 07:59:19.8752370,2021-08-05 08:02:11.4069350,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fbba1f37a-1e45-4d90-8e29-0c125942e091-Screen%20Shot%202021-08-05%20at%2014.58.46.png?alt=media&token=1a7a9afe-a320-42ad-a82b-093a6db32fe5
1302,63,Step 6: Enclose your left hand with your right ,50,1294,2021-08-05 08:01:12.4461100,2021-08-05 08:06:19.5176880,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F572fbbf9-1578-4c99-aa16-7310a4649be9-Screen%20Shot%202021-08-05%20at%2015.00.41.png?alt=media&token=be121197-e74a-4fa9-875d-c9a561ab36ee
1304,70,Step 7: Rub the tip of your fingers,63,1294,2021-08-05 08:06:14.2524020,2021-08-05 08:06:23.8843030,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fc8e77b5b-9a21-4e8c-ad19-1a0a8114041a-Screen%20Shot%202021-08-05%20at%2015.05.26.png?alt=media&token=ef0d119a-0098-454a-b95b-cd0a89da40ae
1306,81,Step 8: Rub around your wrists,71,1294,2021-08-05 08:07:14.0173730,2021-08-05 08:07:30.2625540,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F5e4fe5ee-950e-41c4-8f80-390e7fc55253-Screen%20Shot%202021-08-05%20at%2015.06.50.png?alt=media&token=e59bdb29-8cad-4258-99f3-9171ecb3ec5c
1307,91,Step 9: Rinse soap off your hands,82,1294,2021-08-05 08:08:22.5566560,2021-08-05 08:08:41.7058910,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F6db09c12-ca03-4d08-9b59-4399c0c822c2-Screen%20Shot%202021-08-05%20at%2015.07.46.png?alt=media&token=5b1476e3-ef5d-4d5f-aee9-2508212ce692
1308,100,Step 10: Dry your hands with clean towel,92,1294,2021-08-05 08:09:43.0375680,2021-08-05 08:09:43.0375780,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fdc9739b2-1d17-4609-becb-68995be0c9cf-Screen%20Shot%202021-08-05%20at%2015.09.02.png?alt=media&token=62bbc691-05a3-45a5-a2e0-10da60391f45
1318,56,Introduction,0,1305,2021-08-06 03:53:56.6816830,2021-08-06 03:53:56.6816970,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F9fc9bc11-6d69-4759-9915-18aef54b686b-1.png?alt=media&token=bb85d762-2f5d-4a05-8b7f-bd05737ecfe2
1319,95,How this class works,56,1305,2021-08-06 03:55:18.7482740,2021-08-06 03:56:49.4413330,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F9aa8df20-132c-450b-9b3e-09299949a95c-1.png?alt=media&token=f0486e12-fa2b-4690-91f7-a0440c2bbee9
1320,128,What you need,95,1305,2021-08-06 03:58:14.0683190,2021-08-06 03:58:14.0683320,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2Fa9a58ffa-2f8e-4891-a85e-a51df6acbe07-1.png?alt=media&token=6f1757e6-47ea-4a13-a617-0a3d61128da2
1321,170,Look at the world like an artist,128,1305,2021-08-06 04:09:06.6994300,2021-08-06 04:09:06.6994390,25,https://firebasestorage.googleapis.com/v0/b/video-annotator-6bbca.appspot.com/o/annotation%2F2e4c2e87-4dcc-4169-a0dd-6851a6ae2e84-1.png?alt=media&token=db41d0dd-4e60-49dc-bae6-5a44241c6941
